Company,Symbol,Weight
Ameriprise Financial Inc,AMP,0.090249
Rockwell Automation Inc,ROK,0.089569
Fastenal Co,FAST,0.089132
Vici Properties Inc,VICI,0.089084
Kraft Heinz Co,KHC,0.088969
Dupont De Nemours Inc,DD,0.088032
Public Service Enterprise Gp,PEG,0.087837
Allstate Corp,ALL,0.08705
Cummins Inc,CMI,0.086253
Ww Grainger Inc,GWW,0.085772
Bank of New York Mellon Corp,BK,0.085754
Prudential Financial Inc,PRU,0.08471
Mettler Toledo International,MTD,0.084669
Republic Services Inc,RSG,0.08443
Baker Hughes Co,BKR,0.08326
Halliburton Co,HAL,0.081017
Keysight Technologies In,KEYS,0.080706
Ge Healthcare Technology,GEHC,0.080435
Wec Energy Group Inc,WEC,0.080431
Amerisourcebergen Corp,ABC,0.080205
American Water Works Co Inc,AWK,0.080109
Lennar Corp A,LEN,0.079358
Constellation Energy,CEG,0.078857
Old Dominion Freight Line,ODFL,0.078804
Keurig Dr Pepper Inc,KDP,0.07823
Zimmer Biomet Holdings Inc,ZBH,0.078136
Discover Financial Services,DFS,0.076968
Arch Capital Group Ltd,ACGL,0.07685
P G & E Corp,PCG,0.076767
Oneok Inc,OKE,0.075746
Global Payments Inc,GPN,0.075514
Ansys Inc,ANSS,0.075461
Gartner Inc,IT,0.075207
Hp Inc,HPQ,0.075183
Warner Bros Discovery Inc,WBD,0.074712
Vulcan Materials Co,VMC,0.074519
Equifax Inc,EFX,0.073633
Edison International,EIX,0.073605
West Pharmaceutical Services,WST,0.073119
Eversource Energy,ES,0.072509
Albemarle Corp,ALB,0.071972
Digital Realty Trust Inc,DLR,0.071705
Diamondback Energy Inc,FANG,0.0716
Ulta Beauty Inc,ULTA,0.071335
Martin Marietta Materials,MLM,0.071154
Aptiv Plc,APTV,0.07099
Tractor Supply Company,TSCO,0.069961
Sba Communications Corp,SBAC,0.069926
Avalonbay Communities Inc,AVB,0.069685
Corning Inc,GLW,0.069593
Quanta Services Inc,PWR,0.069014
Willis Towers Watson Plc,WTW,0.068294
Cbre Group Inc A,CBRE,0.068146
Ebay Inc,EBAY,0.068019
State Street Corp,STT,0.067837
T Rowe Price Group Inc,TROW,0.067527
United Rentals Inc,URI,0.066959
Ingersoll Rand Inc,IR,0.066819
Church & Dwight Co Inc,CHD,0.06624
Cdw Corp/de,CDW,0.065857
Lyondellbasell Indu Cl A,LYB,0.065738
Fortive Corp,FTV,0.065251
Delta Air Lines Inc,DAL,0.064947
Genuine Parts Co,GPC,0.0648
Enphase Energy Inc,ENPH,0.064655
Hartford Financial Svcs Grp,HIG,0.064207
Walgreens Boots Alliance Inc,WBA,0.063978
Mccormick & Co Non Vtg Shrs,MKC,0.063618
Cardinal Health Inc,CAH,0.063453
Take Two Interactive Softwre,TTWO,0.062446
Baxter International Inc,BAX,0.061638
